Modelo,Accuracy,AUC-ROC
Red Bayesiana,0.817,0.7878845568077977
Regresión Logística,0.7781803542673108,0.6823034381207611
Árbol de Decisión,0.8255693581780539,0.8235548240145358
Random Forest,0.8423050379572119,0.8508784213699541
