iter	Passed	Remaining
146	871	5058
147	877	5050
148	881	5036
149	886	5022
150	891	5011
151	896	5001
152	902	4994
153	906	4981
154	912	4972
155	917	4964
156	923	4956
157	927	4944
158	933	4938
159	938	4927
160	943	4918
161	949	4909
162	953	4898
163	959	4888
164	963	4877
165	968	4863
166	973	4856
167	979	4850
168	985	4844
169	989	4833
170	994	4822
171	1000	4814
172	1006	4809
173	1010	4798
174	1015	4788
175	1020	4777
176	1025	4767
177	1029	4756
178	1034	4745
179	1039	4736
180	1044	4727
181	1049	4716
182	1054	4709
183	1059	4700
184	1064	4690
185	1069	4679
186	1074	4672
187	1079	4662
188	1084	4651
189	1088	4642
190	1094	4634
191	1100	4629
192	1105	4620
193	1110	4612
194	1114	4602
195	1119	4592
196	1124	4583
197	1129	4573
198	1133	4563
199	1138	4554
200	1143	4546
201	1148	4538
202	1153	4530
203	1158	4520
204	1163	4511
205	1168	4502
206	1173	4494
207	1178	4486
208	1183	4477
209	1188	4471
210	1193	4464
211	1199	4457
212	1203	4448
213	1209	4440
214	1214	4432
215	1218	4423
216	1223	4415
217	1229	4409
218	1234	4401
219	1238	4392
220	1244	4385
221	1249	4379
222	1254	4371
223	1259	4362
224	1264	4354
225	1269	4347
226	1274	4339
227	1279	4331
228	1284	4323
229	1289	4315
230	1293	4307
231	1298	4299
232	1304	4295
233	1310	4289
234	1316	4285
235	1321	4278
236	1327	4272
237	1332	4266
238	1337	4260
239	1343	4255
240	1349	4249
241	1353	4240
242	1358	4232
243	1364	4226
244	1368	4218
245	1373	4210
246	1378	4203
247	1384	4198
248	1389	4190
249	1394	4183
250	1400	4179
251	1405	4172
252	1410	4165
253	1415	4158
254	1420	4150
255	1425	4142
256	1430	4134
257	1434	4126
258	1439	4118
259	1444	4111
260	1449	4103
261	1453	4095
262	1458	4087
263	1463	4081
264	1468	4073
265	1473	4065
266	1478	4059
267	1484	4053
268	1488	4046
269	1493	4037
270	1498	4030
271	1503	4024
272	1508	4016
273	1513	4010
274	1518	4003
275	1522	3994
276	1528	3988
277	1533	3981
278	1537	3973
279	1542	3965
280	1547	3958
281	1551	3951
282	1557	3945
283	1562	3939
284	1567	3932
285	1573	3927
286	1578	3921
287	1583	3913
288	1587	3906
289	1592	3898
290	1597	3891
291	1602	3884
292	1607	3878
293	1612	3872
294	1617	3865
295	1622	3858
296	1627	3852
297	1632	3846
298	1637	3839
299	1642	3831
300	1647	3825
301	1651	3817
302	1656	3811
303	1662	3806
304	1667	3799
305	1672	3793
306	1677	3786
307	1682	3779
308	1687	3773
309	1692	3768
310	1697	3761
311	1702	3754
312	1708	3749
313	1714	3744
314	1718	3737
315	1723	3731
316	1729	3725
317	1734	3719
318	1739	3713
319	1743	3705
320	1749	3700
321	1755	3695
322	1760	3689
323	1765	3683
324	1770	3677
325	1775	3670
326	1780	3664
327	1785	3657
328	1790	3651
329	1795	3645
330	1800	3639
331	1805	3632
332	1811	3627
333	1816	3622
334	1821	3615
335	1826	3609
336	1831	3602
337	1836	3596
338	1841	3589
339	1846	3583
340	1851	3577
341	1856	3572
342	1861	3566
343	1866	3559
344	1871	3552
345	1876	3547
346	1881	3540
347	1886	3534
348	1892	3529
349	1897	3523
350	1902	3518
351	1907	3511
352	1913	3507
353	1918	3501
354	1924	3496
355	1929	3490
356	1934	3483
357	1939	3478
358	1944	3472
359	1950	3467
360	1955	3461
361	1961	3456
362	1966	3451
363	1971	3445
364	1977	3439
365	1982	3433
366	1987	3427
367	1992	3421
368	1997	3416
369	2002	3410
370	2007	3403
371	2013	3398
372	2018	3392
373	2023	3387
374	2029	3381
375	2033	3375
376	2038	3369
377	2044	3363
378	2049	3357
379	2054	3352
380	2060	3346
381	2065	3341
382	2070	3335
383	2075	3329
384	2080	3323
385	2085	3317
386	2090	3310
387	2094	3304
388	2099	3298
389	2104	3292
390	2109	3285
391	2114	3280
392	2120	3274
393	2125	3268
394	2129	3261
395	2134	3255
396	2139	3249
397	2144	3243
398	2149	3237
399	2154	3231
400	2159	3225
401	2164	3219
402	2169	3213
403	2174	3207
404	2178	3201
405	2184	3195
406	2188	3189
407	2194	3183
408	2198	3177
409	2203	3170
410	2208	3165
411	2214	3161
412	2220	3156
413	2225	3150
414	2230	3144
415	2235	3138
416	2241	3133
417	2246	3127
418	2250	3121
419	2255	3115
420	2261	3109
421	2266	3103
422	2270	3097
423	2275	3091
424	2280	3085
425	2286	3080
426	2291	3074
427	2296	3069
428	2302	3064
429	2307	3059
430	2313	3054
431	2319	3050
432	2325	3045
433	2330	3039
434	2336	3034
435	2342	3030
436	2348	3025
437	2354	3021
438	2359	3015
439	2365	3010
440	2370	3005
441	2376	3000
442	2382	2995
443	2387	2989
444	2392	2984
445	2397	2977
446	2402	2972
447	2407	2966
448	2412	2960
449	2418	2955
450	2423	2950
451	2428	2944
452	2433	2938
453	2438	2932
454	2443	2926
455	2448	2921
456	2453	2915
457	2458	2909
458	2463	2903
459	2468	2898
460	2474	2892
461	2479	2887
462	2485	2882
463	2490	2876
464	2495	2871
465	2500	2865
466	2505	2859
467	2510	2853
468	2514	2847
469	2520	2842
470	2525	2836
471	2531	2832
472	2537	2827
473	2543	2822
474	2549	2817
475	2555	2813
476	2559	2806
477	2565	2801
478	2570	2796
479	2575	2790
480	2580	2784
481	2586	2779
482	2591	2773
483	2596	2767
484	2601	2761
485	2606	2756
486	2612	2751
487	2617	2746
488	2622	2740
489	2627	2735
490	2633	2730
491	2639	2725
492	2645	2720
493	2650	2715
494	2656	2710
495	2661	2704
496	2667	2699
497	2673	2695
498	2679	2690
499	2685	2685
500	2691	2680
501	2696	2674
502	2701	2669
503	2707	2664
504	2713	2659
505	2719	2655
506	2724	2649
507	2730	2644
508	2734	2638
509	2740	2633
510	2745	2627
511	2750	2621
512	2755	2616
513	2760	2610
514	2766	2604
515	2770	2599
516	2775	2593
517	2781	2587
518	2786	2582
519	2791	2576
520	2795	2570
521	2800	2564
522	2805	2558
523	2810	2552
524	2815	2547
525	2821	2542
526	2827	2537
527	2832	2531
528	2836	2525
529	2841	2520
530	2846	2514
531	2851	2508
532	2856	2502
533	2861	2497
534	2867	2491
535	2871	2485
536	2876	2480
537	2881	2474
538	2886	2468
539	2891	2463
540	2896	2457
541	2901	2451
542	2906	2446
543	2911	2440
544	2916	2434
545	2921	2429
546	2925	2423
547	2931	2417
548	2937	2412
549	2942	2407
550	2947	2401
551	2951	2395
552	2957	2390
553	2962	2384
554	2966	2378
555	2972	2373
556	2978	2368
557	2983	2363
558	2988	2357
559	2993	2351
560	2998	2346
561	3004	2341
562	3009	2335
563	3014	2330
564	3019	2324
565	3024	2319
566	3030	2314
567	3036	2309
568	3041	2303
569	3046	2298
570	3052	2293
571	3057	2287
572	3062	2282
573	3067	2276
574	3072	2271
575	3077	2265
576	3083	2260
577	3088	2255
578	3093	2249
579	3098	2244
580	3103	2238
581	3108	2232
582	3113	2227
583	3119	2221
584	3124	2216
585	3128	2210
586	3134	2205
587	3140	2200
588	3146	2195
589	3152	2190
590	3159	2186
591	3164	2180
592	3170	2175
593	3175	2170
594	3180	2165
595	3186	2160
596	3192	2154
597	3197	2149
598	3202	2143
599	3207	2138
600	3212	2132
601	3217	2127
602	3222	2121
603	3227	2115
604	3232	2110
605	3237	2105
606	3242	2099
607	3247	2093
608	3252	2088
609	3257	2082
610	3261	2076
611	3266	2071
612	3271	2065
613	3276	2059
614	3281	2053
615	3286	2048
616	3291	2042
617	3295	2037
618	3300	2031
619	3305	2026
620	3310	2020
621	3316	2015
622	3321	2010
623	3327	2004
624	3332	1999
625	3338	1994
626	3342	1988
627	3348	1983
628	3353	1977
629	3357	1972
630	3362	1966
631	3368	1961
632	3373	1956
633	3378	1950
634	3383	1944
635	3388	1939
636	3393	1933
637	3397	1928
638	3403	1922
639	3409	1917
640	3414	1912
641	3418	1906
642	3424	1901
643	3431	1896
644	3436	1891
645	3442	1886
646	3448	1881
647	3454	1876
648	3459	1871
649	3465	1865
650	3471	1860
651	3476	1855
652	3482	1850
653	3488	1845
654	3494	1840
655	3499	1835
656	3505	1830
657	3512	1825
658	3517	1820
659	3523	1814
660	3528	1809
661	3535	1804
662	3540	1799
663	3545	1794
664	3550	1788
665	3556	1783
666	3562	1778
667	3568	1773
668	3574	1768
669	3579	1762
670	3584	1757
671	3589	1751
672	3594	1746
673	3599	1741
674	3605	1736
675	3611	1730
676	3617	1726
677	3623	1721
678	3629	1715
679	3635	1710
680	3642	1706
681	3648	1701
682	3654	1696
683	3660	1690
684	3665	1685
685	3671	1680
686	3677	1675
687	3683	1670
688	3688	1665
689	3693	1659
690	3700	1654
691	3705	1649
692	3712	1644
693	3717	1639
694	3722	1633
695	3727	1628
696	3732	1622
697	3738	1617
698	3744	1612
699	3751	1607
700	3757	1602
701	3762	1597
702	3767	1591
703	3773	1586
704	3778	1581
705	3784	1575
706	3789	1570
707	3794	1565
708	3800	1559
709	3805	1554
710	3811	1549
711	3816	1543
712	3821	1538
713	3825	1532
714	3831	1527
715	3836	1521
716	3840	1515
717	3846	1510
718	3851	1505
719	3856	1499
720	3861	1494
721	3866	1488
722	3871	1483
723	3876	1477
724	3880	1472
725	3885	1466
726	3890	1461
727	3895	1455
728	3900	1449
729	3905	1444
730	3910	1439
731	3915	1433
732	3920	1428
733	3925	1422
734	3929	1416
735	3934	1411
736	3939	1405
737	3943	1400
738	3948	1394
739	3953	1389
740	3958	1383
741	3963	1378
742	3968	1372
743	3973	1367
744	3979	1362
745	3985	1356
746	3994	1352
747	4005	1349
748	4014	1345
749	4021	1340
750	4028	1335
751	4035	1330
752	4041	1325
753	4047	1320
754	4054	1315
755	4060	1310
756	4067	1305
757	4073	1300
758	4079	1295
759	4085	1290
760	4090	1284
761	4095	1279
762	4102	1274
763	4109	1269
764	4115	1264
765	4121	1259
766	4127	1253
767	4134	1248
768	4139	1243
769	4144	1238
770	4149	1232
771	4154	1227
772	4160	1221
773	4165	1216
774	4169	1210
775	4174	1204
776	4179	1199
777	4183	1193
778	4188	1188
779	4193	1182
780	4198	1177
781	4203	1171
782	4208	1166
783	4212	1160
784	4217	1155
785	4222	1149
786	4226	1143
787	4231	1138
788	4235	1132
789	4240	1127
790	4245	1121
791	4250	1116
792	4256	1111
793	4261	1105
794	4266	1100
795	4270	1094
796	4275	1089
797	4280	1083
798	4285	1078
799	4289	1072
800	4294	1066
801	4299	1061
802	4304	1056
803	4309	1050
804	4314	1045
805	4319	1039
806	4323	1034
807	4329	1028
808	4334	1023
809	4339	1017
810	4344	1012
811	4349	1006
812	4354	1001
813	4359	996
814	4364	990
815	4369	985
816	4374	979
817	4378	974
818	4383	968
819	4388	963
820	4393	957
821	4398	952
822	4403	946
823	4407	941
824	4412	935
825	4417	930
826	4421	925
827	4426	919
828	4431	914
829	4436	908
830	4441	903
831	4446	897
832	4451	892
833	4457	887
834	4462	881
835	4468	876
836	4474	871
837	4480	866
838	4485	860
839	4490	855
840	4495	849
841	4500	844
842	4505	839
843	4510	833
844	4515	828
845	4522	823
846	4527	817
847	4532	812
848	4537	807
849	4542	801
850	4547	796
851	4551	790
852	4556	785
853	4561	779
854	4567	774
855	4572	769
856	4577	763
857	4582	758
858	4587	752
859	4592	747
860	4596	742
861	4601	736
862	4605	731
863	4610	725
864	4615	720
865	4621	715
866	4626	709
867	4632	704
868	4637	699
869	4641	693
870	4646	688
871	4651	682
872	4657	677
873	4662	672
874	4667	666
875	4672	661
876	4677	655
877	4681	650
878	4686	645
879	4691	639
880	4696	634
881	4701	628
882	4705	623
883	4710	618
884	4715	612
885	4720	607
886	4725	602
887	4730	596
888	4735	591
889	4739	585
890	4744	580
891	4749	575
892	4754	569
893	4759	564
894	4764	558
895	4769	553
896	4775	548
897	4781	543
898	4786	537
899	4792	532
900	4797	527
901	4803	521
902	4809	516
903	4815	511
904	4820	506
905	4825	500
906	4831	495
907	4836	490
908	4841	484
909	4846	479
910	4851	473
911	4856	468
912	4862	463
913	4866	457
914	4872	452
915	4877	447
916	4882	441
917	4886	436
918	4891	431
919	4896	425
920	4901	420
921	4906	415
922	4911	409
923	4916	404
924	4920	398
925	4926	393
926	4930	388
927	4935	382
928	4940	377
929	4945	372
930	4950	366
931	4956	361
932	4963	356
933	4968	351
934	4973	345
935	4978	340
936	4983	335
937	4988	329
938	4992	324
939	4998	319
940	5003	313
941	5007	308
942	5013	303
943	5018	297
944	5023	292
945	5027	286
946	5032	281
947	5037	276
948	5041	270
949	5046	265
950	5051	260
951	5056	254
952	5061	249
953	5066	244
954	5071	238
955	5076	233
956	5082	228
957	5086	223
958	5091	217
959	5096	212
960	5101	207
961	5106	201
962	5111	196
963	5115	191
964	5120	185
965	5125	180
966	5130	175
967	5135	169
968	5140	164
969	5145	159
970	5150	153
971	5154	148
972	5159	143
973	5164	137
974	5169	132
975	5174	127
976	5179	121
977	5183	116
978	5188	111
979	5194	106
980	5200	100
981	5205	95
982	5209	90
983	5214	84
984	5219	79
985	5224	74
986	5229	68
987	5234	63
988	5238	58
989	5242	52
990	5247	47
991	5252	42
992	5257	37
993	5262	31
994	5267	26
995	5272	21
996	5277	15
997	5282	10
998	5287	5
999	5292	0
